canonical_smiles,r_i_docking_score,n_measurements
CC(=O)NC(=O)/C=C/c1cccc(-c2c[nH+]c(Cc3ccccc3)[nH]2)c1,-10.52,1
CC(=O)NC(=O)/C=C/c1cccc(-c2c[nH+]c(Cc3ccccc3)n2C)c1,-10.77,1
CC(=O)NC(=O)/C=C/c1cccc(-c2c[nH+]cn2CCc2ccccc2)c1,-7.875,1
CC(=O)NC(=O)/C=C/c1cccc(-c2cnc(Cc3ccccc3)n2[C@H]2CCC[N@@H+](C)C2)c1,-10.59,1
CC(=O)NC(=O)/C=C/c1cccc(-c2cnc(Cc3ccccc3)n2[C@H]2CCC[NH2+]C2)c1,-9.151,1
CC(=O)NC(=O)/C=C/c1cccc(-c2nc(C)c(-c3ccccc3)n2C)c1,-8.42,1
CC(=O)NC(=O)/C=C/c1cccc(-c2nc(Cc3ccccc3)c[nH]2)c1,-9.211,1
CC(=O)NC(=O)/C=C/c1cccc(-c2nc(Cc3ccccc3)cn2C)c1,-10.62,1
CC(=O)NC(=O)/C=C/c1cccc(-c2nc(Cc3ccccc3)cn2CCN2CCOCC2)c1,-11.18,1
CC(=O)NC(=O)/C=C\c1ccc(NS(=O)(=O)Cc2ccc(C(C)C)cc2)cc1,-11.14,1
CC(=O)NC(=O)CCCCCNC(=O)Cn1cnc2cnc(Nc3ccccc3)nc21,-10.76,1
CC(=O)NC(=O)CCCCC[C@@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)Nc1ccccc1,-10.04,1
CC(=O)NC(=O)COc1ccc(CCNC(=O)Cc2ccccc2)cc1,-10.58,1
CC(=O)NC(=O)c1ccc(CN(C(=O)c2ccc(C(C)C)cc2)C2CC2)cc1,-10.7,1
CC(=O)NC(=O)c1ccc(CN2C(=O)c3ccccc3C2=O)cc1,-10.39,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3cccc(Cl)c3)CC2=O)cc1,-10.57,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3cccc(Cl)c3)[C@@H](C)C2=O)cc1,-11.48,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3ccccc3)CC2=O)cc1,-11.29,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3ccccc3)[C@@H](C)C2=O)cc1,-8.539,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3ccccc3Cl)CC2=O)cc1,-10.72,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N(Cc3ccccc3Cl)[C@@H](C)C2=O)cc1,-9.18,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N[C@@H](C)C2=O)cc1,-10.24,1
CC(=O)NC(=O)c1ccc(CN2CC(=O)N[C@@H](Cc3ccccc3)C2=O)cc1,-10.1,1
CC(=O)NC(=O)c1ccc(CNC(=O)N2CCC(N3C[C@@H](c4ccccc4)C3=O)CC2)cc1,-9.956,1
CC(=O)NC(=O)c1ccc(CNC(=O)c2ccc(C(C)C)cc2)cc1,-10.53,1
CC(=O)NC(=O)c1ccc(COc2ccc(/C=C3\NC(=O)CNC3=O)cc2)cc1,-10.29,1
CC(=O)NC(=O)c1ccc(Cc2ccc3c(=O)n(CCc4ccccc4)c(C)nc3c2)cc1,-11.7,1
CC(=O)NC(=O)c1ccc(Cc2ccc3nc(C)n(C)c(=O)c3c2)cc1,-10.86,1
CC(=O)NC(=O)c1ccc(Cc2ccc3ncn(C)c(=O)c3c2)cc1,-10.94,1
CC(=O)NC(=O)c1ccc(Cn2c(=O)[nH]c(=O)c3ccccc32)cc1,-7.476,1
CC(=O)NC(=O)c1ccc(Cn2c(=O)[nH]c(=O)c3ccsc32)cc1,-10.2,1
CC(=O)NC(=O)c1ccc(Cn2cnc3ccccc32)c(F)c1,-10.35,1
CC(=O)NC(=O)c1ccc(N[C@@H]2CCN(c3ccc4ncccc4c3)C2=O)cc1,-9.599,1
CC(=O)NC(=O)c1ccc2[nH]ccc2c1,-10.1,1
CC(=O)NC(=O)c1ccccc1,-9.607,1
CC(=O)NC(=O)c1cnc(N[C@H]2CC[C@@H]([NH2+]Cc3c[nH]c4cc(C)ccc34)CC2)nc1,-9.646,1
